Row Labels,Sum of Weight
Summer,11781289
Archery,131838
Art Competitions,2089
Athletics,2242668
Badminton,92849.5
Baseball,72517.5
Basketball,314721
Beach Volleyball,42550
Boxing,284966
Canoeing,424531
Cycling,545119
Diving,121805.5
Equestrianism,308711.5
Fencing,466666.5
Figure Skating,131
Football,313125.5
Golf,7689
Gymnastics,1039162
Handball,270510
Hockey,294919
Ice Hockey,1332
Judo,265308.5
Lacrosse,133
Modern Pentathlon,88484.5
Motorboating,77
Rhythmic Gymnastics,29988
Rowing,624467.5
Rugby,2326
Rugby Sevens,23465
Sailing,369493
Shooting,537507.5
Softball,29755
Swimming,1325544
Synchronized Swimming,47422
Table Tennis,116133
Taekwondo,40580.5
Tennis,142171
Trampolining,8839
Triathlon,32516
Tug-Of-War,1836
Volleyball,258556
Water Polo,229941
Weightlifting,236768.5
Wrestling,392076
Winter,2791938
Alpine Skiing,455706.5
Biathlon,307504
Bobsleigh,196601.5
Cross Country Skiing,496014
Curling,29574
Figure Skating,89899
Freestyle Skiing,61195.5
Ice Hockey,368824
Luge,106418
Nordic Combined,71265.5
Short Track Speed Skating,95694
Skeleton,12905
Ski Jumping,127961.5
Snowboarding,64243
Speed Skating,308132.5
Grand Total,14573227
